id;start_date;end_date;description;type
1;8/20/2017;8/20/2017;met,salsa on roof;Event
2;8/26/2017;8/26/2017;Mayweather vs McGregor fight (Maddy bought us sushiritos);Event
3;9/3/2017;9/3/2017;wine tour (not together);Event
4;9/4/2017;9/4/2017;gorge;Event
5;9/8/2017;9/8/2017;pregamed with Jamie,Maddy,and Logan;Event
6;9/16/2017;9/16/2017;date night - IT FULLY STARTED;Event
7;9/27/2017;9/27/2017;saw It;Event
8;9/29/2017;9/29/2017;Apple fest with Jamie bonan;Event
9;10/5/2017;10/5/2017;drive Maddie to airport;Event
10;10/16/2017;10/16/2017;hung pictures of Arielle in the hallway,met Phoebe;Event
11;10/20/2017;10/20/2017;seran wrap prank & broken laptop,homecoming;Event
12;10/26/2017;10/26/2017;aem Halloween,Maddie died and cried and Alec left;Event
13;10/27/2017;10/27/2017;went to orchard with Jamie;Event
14;10/29/2017;10/29/2017;Maddie laptop text & Brooke roommate prank;Event
15;11/4/2017;11/4/2017;first date: pants shopping and Maxie's and Happy Death Day;Event
16;11/10/2017;11/10/2017;room within room ore prank & mahogany grill dinner;Event
17;11/11/2017;11/11/2017;Cornell Harvard hockey game & IBWN;Event
18;11/20/2017;11/20/2017;Maddie's surprise cornbread party;Event
19;11/27/2017;11/27/2017;Maddie to hospital & Alec's first points;Event
20;12/3/2017;12/3/2017;formal;Event
21;12/6/2017;12/6/2017;balloon prank;Event
22;12/9/2017;12/9/2017;ice and chillifest ;Event
23;12/14/2017;12/14/2017;met Alec's parents,Muhammad Ali x-ray,and VT;Event
24;12/14/2017;12/14/2017;Stowe,VT;Event
25;12/17/2017;12/17/2017;Montreal;Event
26;1/23/2018;1/23/2018;First Bach Tuesday;Event
27;1/26/2018;1/26/2018;Treman;Event
28;1/27/2018;1/27/2018;Treman with friends & made sushi;Event
29;2/9/2018;2/9/2018;bachelor in Hollister;Event
30;2/14/2018;2/14/2018;gave Alec a shirt with my face on it for Valentine's (swing and a miss);Event
31;2/16/2018;2/16/2018;Scavenger hunt #1;Event
32;2/24/2018;2/24/2018;Maddie went to Alec's Syracuse tournament;Event
33;3/2/2018;3/2/2018;watched 10 episodes of series of unfortunate Events;Event
34;3/3/2018;3/3/2018;cross country skiing & Maddie fell in her face;Event
35;3/4/2018;3/4/2018;cross country skiid to flapjack;Event
36;3/9/2018;3/9/2018;bid on rare and manuscript collection tour and won;Event
37;3/15/2018;3/15/2018;Chicago with Emily and Max;Event
38;3/24/2018;3/24/2018;Alcohol Party Honoring Harry Houdini;Event
39;3/29/2018;3/29/2018;rare and manuscript collection tour;Event
40;3/30/2018;3/30/2018;dragon day;Event
41;4/1/2018;4/1/2018;DR (first flight together,fish pedicures,Alec sails,smgt);Event
42;4/7/2018;4/7/2018;Cape Cod and Maddie Boston apartment search;Event
43;4/21/2018;4/21/2018;wine tour where Maddie died and cried;Event
44;4/26/2018;4/26/2018;Alec pool prank;Event
45;5/2/2018;5/2/2018;wizard of Oz glass ball;Event
46;5/4/2018;5/4/2018;suspension bridge,beebe lake,bury Bacardi;Event
47;5/10/2018;5/10/2018;slope day;Event
48;5/12/2018;5/12/2018;drive around all of Cayuga lake and Formal;Event
49;5/17/2018;5/17/2018;alcohol gift exchange w friends;Event
50;5/23/2018;5/23/2018;Catherine St block party;Event
51;5/24/2018;5/24/2018;rented pontoon on Seneca lake & Stewart park;Event
52;5/25/2018;5/25/2018;graduation photos;Event
53;5/26/2018;5/26/2018;Maddie Dyson graduation;Event
54;5/27/2018;5/27/2018;Alec graduation and commencement;Event
55;6/8/2018;6/8/2018;Alec Chicago,bean with Chelsea and Alvin and block party;Event
56;6/10/2018;6/10/2018;goose island brewery;Event
57;7/6/2018;7/6/2018;Maddie moves to Boston and Alec helps;Event
58;7/10/2018;7/10/2018;Alec shows Maddie how to take the T;Event
59;7/14/2018;7/14/2018;Alec made Maddie an intense Boston scavenger hunt;Event
60;7/15/2018;7/15/2018;played in volleyball tournament;Event
61;7/21/2018;7/21/2018;mountain biking;Event
62;7/22/2018;7/22/2018;museum of science;Event
63;7/24/2018;7/24/2018;Kesha and Macklemore concert;Event
64;7/28/2018;7/28/2018;hiked mt Mansfield and Maddie caught a frog;Event
65;8/4/2018;8/4/2018;bar with Adam;Event
66;8/5/2018;8/5/2018;rolled Maddie in a carpet;Event
67;8/10/2018;8/10/2018;camping in ME - Saw so many stars,went to an animal talk and tied our sweatshirt sleeves together,tried to have sex under the stars on a rock but basically got caught,went on the hardest bike ride Maddie has ever been on in her life,saw a big spider,Maddie camped for the first time ever;Event
68;8/14/2018;8/14/2018;Alec + fam birthday celebration and messages from semi-famous people;Event
69;8/17/2018;8/17/2018;Alec moves back to Ithaca;Event
70;8/18/2018;8/18/2018;oweek w friends;Event
71;9/21/2018;9/21/2018;homecoming;Event
72;10/5/2018;10/5/2018;Marathon expo ;Event
73;10/7/2018;10/7/2018;Chicago marathon (alec breaks foot lol and we give out guitar picks for donations);Event
74;10/8/2018;10/8/2018;corn maze and pizza for dinner;Event
75;10/13/2018;10/13/2018;Alec weekend in Boston;Event
76;10/19/2018;10/19/2018;Maddie in Ithaca - cat Cafe,date night;Event
77;10/26/2018;10/26/2018;Alec in Boston for interview,red Sox works series game viewing,Halloween as Boss-ton;Event
78;11/3/2018;11/3/2018;virtual early anniversary with dessert;Event
79;11/15/2018;11/15/2018;Maddie to Ithaca - snow storm so stayed in Syracuse,Alec gave me flowers hehe;Event
80;11/17/2018;11/17/2018;taughanack falls,national treasure viewing,pho Tau Thanksgiving dinner;Event
81;11/18/2018;11/18/2018;Doug's fish fry yummers;Event
82;12/10/2018;12/10/2018;Alec flew a plane and we almost died;Event
83;12/17/2018;12/17/2018;Eversound company holiday party;Event
84;12/31/2018;12/31/2018;ice skating in cape cod & New year's eve at Logan's with Kyle and his Italian lady friends;Event
85;1/1/2019;1/1/2019;baseball at the park;Event
