GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Alec,com.gift.maddie.web.rest.errors,EmailAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Alec,com.gift.maddie.web.rest.errors,BadRequestAlertException,0,53,0,0,0,12,0,5,0,5
Alec,com.gift.maddie.web.rest.errors,ErrorConstants,0,22,0,0,0,7,0,1,0,1
Alec,com.gift.maddie.web.rest.errors,InvalidPasswordException,0,6,0,0,0,2,0,1,0,1
Alec,com.gift.maddie.web.rest.errors,EmailNotFoundException,0,6,0,0,0,2,0,1,0,1
Alec,com.gift.maddie.web.rest.errors,LoginAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Alec,com.gift.maddie.web.rest.errors,ExceptionTranslator,27,217,4,10,10,42,5,12,1,9
Alec,com.gift.maddie.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
Alec,com.gift.maddie,AlecApp,110,24,10,2,29,8,8,3,2,3
Alec,com.gift.maddie,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Alec,com.gift.maddie.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Alec,com.gift.maddie.domain,Poke_,3,0,0,0,1,0,1,0,1,0
Alec,com.gift.maddie.domain,PersistentToken,66,50,5,1,15,20,6,13,3,13
Alec,com.gift.maddie.domain,Event,0,123,0,8,0,37,0,22,0,18
Alec,com.gift.maddie.domain,User_,3,0,0,0,1,0,1,0,1,0
Alec,com.gift.maddie.domain,PersistentToken_,3,0,0,0,1,0,1,0,1,0
Alec,com.gift.maddie.domain,Poke,0,104,0,8,0,31,0,19,0,15
Alec,com.gift.maddie.domain,AbstractAuditingEntity,0,37,0,0,0,15,0,9,0,9
Alec,com.gift.maddie.domain,PersistentAuditEvent,0,94,0,8,0,28,0,18,0,14
Alec,com.gift.maddie.domain,User,4,203,0,8,2,61,1,35,1,31
